County,MLO,ID,Population_density
Cornwall,Cornwall 072,E02003929,152.8
Cornwall,Cornwall 073,E02003930,59
Gloucestershire,Cotswold 001,E02004615,85.9
Gloucestershire,Cotswold 002,E02004616,94.3
Gloucestershire,Cotswold 003,E02004617,62.1
Gloucestershire,Cotswold 004,E02004618,28
Gloucestershire,Cotswold 005,E02004619,31.2
Gloucestershire,Cotswold 006,E02004620,"1,271.50"
Gloucestershire,Cotswold 007,E02004621,484.6
Gloucestershire,Cotswold 008,E02004622,504.4
Gloucestershire,Cotswold 009,E02004623,141.4
Gloucestershire,Cotswold 010,E02004624,92.6
Gloucestershire,Cotswold 011,E02004625,71.6
Dorset,Dorset 001,E02004255,"1,352.00"
Dorset,Dorset 002,E02004256,86.8
Dorset,Dorset 003,E02004257,"2,038.40"
Dorset,Dorset 004,E02004269,"1,550.80"
Dorset,Dorset 005,E02004258,113.2
Dorset,Dorset 006,E02004259,72.1
Dorset,Dorset 007,E02004243,58.2
Dorset,Dorset 008,E02004270,52.2
Dorset,Dorset 009,E02004260,69.9
Dorset,Dorset 010,E02004244,"1,205.80"
Dorset,Dorset 011,E02004261,"2,964.20"
Dorset,Dorset 012,E02004245,671.8
Dorset,Dorset 013,E02004247,42.5
Dorset,Dorset 014,E02004262,46.5
Dorset,Dorset 015,E02004246,318.6
Dorset,Dorset 016,E02004248,867.1
Dorset,Dorset 017,E02004249,859.4
Dorset,Dorset 018,E02004250,"2,036.90"
Dorset,Dorset 019,E02004271,45.6
Dorset,Dorset 020,E02004251,628.1
Dorset,Dorset 021,E02004252,"2,188.90"
Dorset,Dorset 022,E02004272,44.7
Dorset,Dorset 023,E02004273,89.3
Dorset,Dorset 024,E02004253,763.6
Dorset,Dorset 025,E02004254,845.5
Dorset,Dorset 026,E02004274,"1,408.80"
Dorset,Dorset 027,E02004263,80.2
Dorset,Dorset 028,E02004264,597
Dorset,Dorset 029,E02004275,60.9
Dorset,Dorset 030,E02004276,"1,394.70"
Dorset,Dorset 031,E02007006,"2,397.30"
Dorset,Dorset 032,E02007007,"3,332.20"
Dorset,Dorset 033,E02004265,235.4
Dorset,Dorset 034,E02004278,"3,286.00"
Dorset,Dorset 035,E02004266,66.3
Dorset,Dorset 036,E02004279,67.6
Dorset,Dorset 037,E02004280,91.3
Dorset,Dorset 038,E02004281,999.3
Dorset,Dorset 039,E02004267,35.1
Dorset,Dorset 040,E02004282,"1,081.90"
Dorset,Dorset 041,E02004283,"1,283.80"
Dorset,Dorset 042,E02004268,842.1
Dorset,Dorset 043,E02004285,"4,560.80"
Dorset,Dorset 044,E02004284,"4,850.80"
Dorset,Dorset 045,E02004286,"4,099.70"
Dorset,Dorset 046,E02004287,"3,169.70"
Dorset,Dorset 047,E02004288,995.8
Dorset,Dorset 048,E02004289,"1,243.90"
Devon,East Devon 001,E02004129,38.3
Devon,East Devon 002,E02004130,"1,099.90"
Devon,East Devon 003,E02004131,746.7
Devon,East Devon 004,E02004132,80.5
Devon,East Devon 005,E02004133,190
Devon,East Devon 007,E02004135,87
Devon,East Devon 008,E02004136,264.1
Devon,East Devon 009,E02004137,54.3
Devon,East Devon 010,E02004138,"1,615.80"
Devon,East Devon 011,E02004139,"1,078.60"
Devon,East Devon 012,E02004140,892.5
Devon,East Devon 013,E02004141,113
Devon,East Devon 014,E02004142,159.6
Devon,East Devon 015,E02004143,"2,098.40"
Devon,East Devon 016,E02004144,"2,694.00"
Devon,East Devon 017,E02004145,446.7
Devon,East Devon 018,E02004146,"1,862.70"
Devon,East Devon 019,E02004147,"6,570.60"
Devon,East Devon 020,E02004148,968.4
Devon,East Devon 021,E02007027,104.7
Devon,East Devon 022,E02007028,"4,123.60"
Devon,Exeter 001,E02004149,"1,546.60"
Devon,Exeter 002,E02004150,"2,375.80"
Devon,Exeter 003,E02004151,"2,730.70"
Devon,Exeter 004,E02004152,"9,338.00"
Devon,Exeter 005,E02004153,"2,237.20"
Devon,Exeter 006,E02004154,"7,657.20"
Devon,Exeter 007,E02004155,"4,706.60"
Devon,Exeter 008,E02004156,"6,062.70"
Devon,Exeter 009,E02004157,"4,381.00"
Devon,Exeter 010,E02004158,"7,645.80"
Devon,Exeter 011,E02004159,"1,781.20"
Devon,Exeter 012,E02004160,"2,501.00"
Devon,Exeter 013,E02004161,"4,603.10"
Devon,Exeter 014,E02004162,"1,375.30"
Devon,Exeter 015,E02004163,"1,714.80"
Gloucestershire,Forest of Dean 001,E02004626,63.4
Gloucestershire,Forest of Dean 002,E02004627,227.5
Gloucestershire,Forest of Dean 003,E02004628,318.1
Gloucestershire,Forest of Dean 004,E02004629,348.5
Gloucestershire,Forest of Dean 005,E02004630,79.9
Gloucestershire,Forest of Dean 006,E02004631,78.2
Gloucestershire,Forest of Dean 007,E02004632,993.8
Gloucestershire,Forest of Dean 008,E02004633,210.3
Gloucestershire,Forest of Dean 009,E02004634,323.3
Gloucestershire,Forest of Dean 010,E02004635,167.3
Gloucestershire,Gloucester 001,E02004636,"3,938.20"
Gloucestershire,Gloucester 002,E02004637,"3,136.70"
Gloucestershire,Gloucester 003,E02004638,"4,097.60"
Gloucestershire,Gloucester 004,E02004639,"1,485.90"
Gloucestershire,Gloucester 005,E02004640,"8,868.40"
Gloucestershire,Gloucester 006,E02004641,"4,119.00"
Gloucestershire,Gloucester 007,E02004642,"2,935.10"
Gloucestershire,Gloucester 008,E02004643,"7,149.80"
Gloucestershire,Gloucester 009,E02004644,"3,419.20"
Gloucestershire,Gloucester 010,E02004645,"4,588.60"
Gloucestershire,Gloucester 011,E02004646,"2,028.60"
Gloucestershire,Gloucester 012,E02004647,"3,174.80"
Gloucestershire,Gloucester 013,E02004648,"4,034.20"
